bin,e_lo,e_hi,rho_clip,levels,pairs,k_med,predictor
0,0.0,0.16467030644416814,0.7932616323232651,12,71868,7.0,all
1,0.16467030644416814,0.36201492547988895,0.6998466402292252,12,71867,7.0,all
2,0.36201492547988895,0.6287125468254091,0.5780414640903473,12,71868,9.0,all
3,0.6287125468254091,1.0134487152099614,0.5104199945926666,12,71867,10.0,all
4,1.0134487152099614,1.5638152360916138,0.40805110335350037,12,71867,12.0,all
5,1.5638152360916138,2.316591930389405,0.35285648703575134,12,71868,13.0,all
6,2.316591930389405,3.2895487308502207,0.2487543225288391,12,71867,15.0,all
7,3.2895487308502207,4.601943588256838,0.21787947416305542,12,71868,17.0,all
8,4.601943588256838,7.036930656433105,0.17604967951774597,12,71867,19.0,all
9,7.036930656433105,74262.6484375,0.05635213851928711,12,71868,22.0,all
0,0.0,0.16467030644416814,0.8344637379050255,12,26975,6.0,oracle
1,0.16467030644416814,0.36201492547988895,0.704261839389801,12,23219,9.0,oracle
2,0.36201492547988895,0.6287125468254091,0.5957106053829193,12,19316,11.0,oracle
3,0.6287125468254091,1.0134487152099614,0.5830935835838318,12,15597,13.0,oracle
4,1.0134487152099614,1.5638152360916138,0.4477579891681671,12,13303,15.0,oracle
5,1.5638152360916138,2.316591930389405,0.4199599027633667,12,11089,17.0,oracle
6,2.316591930389405,3.2895487308502207,0.36968591809272766,12,10263,19.0,oracle
7,3.2895487308502207,4.601943588256838,0.2175392508506775,12,10106,20.0,oracle
8,4.601943588256838,7.036930656433105,0.15953993797302246,12,9515,22.0,oracle
9,7.036930656433105,74262.6484375,0.01710239052772522,10,4352,25.0,oracle
0,0.0,0.16467030644416814,0.6717819944024086,10,16637,8.0,phys0.1
1,0.16467030644416814,0.36201492547988895,0.6985283344984055,12,16333,8.0,phys0.1
2,0.36201492547988895,0.6287125468254091,0.5866633206605911,12,15933,9.0,phys0.1
3,0.6287125468254091,1.0134487152099614,0.4406541883945465,12,15947,9.0,phys0.1
4,1.0134487152099614,1.5638152360916138,0.3791004717350006,12,14820,11.0,phys0.1
5,1.5638152360916138,2.316591930389405,0.38945600390434265,12,14324,14.0,phys0.1
6,2.316591930389405,3.2895487308502207,0.3054686486721039,12,13493,16.0,phys0.1
7,3.2895487308502207,4.601943588256838,0.2154659926891327,12,13195,18.0,phys0.1
8,4.601943588256838,7.036930656433105,0.16502463817596436,12,13129,21.0,phys0.1
9,7.036930656433105,74262.6484375,0.07028019428253174,11,9924,24.0,phys0.1
0,0.0,0.16467030644416814,0.8860270120203495,8,12529,9.0,phys0.2
1,0.16467030644416814,0.36201492547988895,0.6528589129447937,11,11533,8.0,phys0.2
2,0.36201492547988895,0.6287125468254091,0.5700817406177521,12,12000,8.0,phys0.2
3,0.6287125468254091,1.0134487152099614,0.4780692160129547,12,12774,9.0,phys0.2
4,1.0134487152099614,1.5638152360916138,0.34953993558883667,12,14440,9.0,phys0.2
5,1.5638152360916138,2.316591930389405,0.33394289016723633,12,15464,11.0,phys0.2
6,2.316591930389405,3.2895487308502207,0.26366859674453735,12,15988,14.0,phys0.2
7,3.2895487308502207,4.601943588256838,0.212513267993927,12,15663,16.0,phys0.2
8,4.601943588256838,7.036930656433105,0.1574190855026245,12,16544,19.0,phys0.2
9,7.036930656433105,74262.6484375,0.09385764598846436,12,16800,23.0,phys0.2
0,0.0,0.16467030644416814,0.8685118947178125,8,10717,10.0,phys0.3
1,0.16467030644416814,0.36201492547988895,0.6693156734108925,10,8655,8.0,phys0.3
2,0.36201492547988895,0.6287125468254091,0.554294228553772,11,9507,8.0,phys0.3
3,0.6287125468254091,1.0134487152099614,0.4542771577835083,12,10495,8.0,phys0.3
4,1.0134487152099614,1.5638152360916138,0.3776269257068634,12,12066,9.0,phys0.3
5,1.5638152360916138,2.316591930389405,0.3370094895362854,12,14637,9.0,phys0.3
6,2.316591930389405,3.2895487308502207,0.2093685269355774,12,16601,12.0,phys0.3
7,3.2895487308502207,4.601943588256838,0.204199880361557,12,18334,15.0,phys0.3
8,4.601943588256838,7.036930656433105,0.1598581075668335,12,19553,17.0,phys0.3
9,7.036930656433105,74262.6484375,0.09331002831459045,12,23170,22.0,phys0.3
0,0.0,0.16467030644416814,0.8308971375226974,7,5010,2.0,learned
1,0.16467030644416814,0.36201492547988895,0.7231195867061615,11,12127,5.0,learned
2,0.36201492547988895,0.6287125468254091,0.620166003704071,11,15112,9.0,learned
3,0.6287125468254091,1.0134487152099614,0.5312228500843048,11,17054,11.0,learned
4,1.0134487152099614,1.5638152360916138,0.441513329744339,12,17238,14.0,learned
5,1.5638152360916138,2.316591930389405,0.3968713879585266,12,16354,16.0,learned
6,2.316591930389405,3.2895487308502207,0.2845686674118042,12,15522,17.0,learned
7,3.2895487308502207,4.601943588256838,0.20781201124191284,12,14570,19.0,learned
8,4.601943588256838,7.036930656433105,0.16041922569274902,12,13126,21.0,learned
9,7.036930656433105,74262.6484375,-0.016908109188079834,12,17622,18.0,learned
