level,predictor,k,err,ratio
worlds/l/grasp_easy.json,hold,1,2.8267617225646973,9.423197722625497
worlds/l/grasp_easy.json,hold,2,3.9498214721679688,8.68956766826094
worlds/l/grasp_easy.json,hold,3,4.922360420227051,8.54018504672704
worlds/l/grasp_easy.json,hold,4,5.7748613357543945,8.673894098846448
worlds/l/grasp_easy.json,hold,5,6.408454418182373,8.159428624595181
worlds/l/grasp_easy.json,hold,6,6.895410537719727,7.687441921785524
worlds/l/grasp_easy.json,hold,7,7.335532188415527,8.763033171980865
worlds/l/grasp_easy.json,learned,1,0.8556137084960938,2.8522450565916118
worlds/l/grasp_easy.json,learned,2,1.25230872631073,2.7550666518752456
worlds/l/grasp_easy.json,learned,3,1.3035633563995361,2.261653217842004
worlds/l/grasp_easy.json,learned,4,1.368727445602417,2.0558410363612762
worlds/l/grasp_easy.json,learned,5,1.6074936389923096,2.046707170863934
worlds/l/grasp_easy.json,learned,6,1.8245718479156494,2.034148661091158
worlds/l/grasp_easy.json,learned,7,1.7975752353668213,2.1473849493192994
worlds/l/grasp_easy.json,noise,1,0.299979031085968,1.0
worlds/l/grasp_easy.json,noise,2,0.4545475244522095,1.0
worlds/l/grasp_easy.json,noise,3,0.5763763189315796,1.0
worlds/l/grasp_easy.json,noise,4,0.665774941444397,1.0
worlds/l/grasp_easy.json,noise,5,0.7854048013687134,1.0
worlds/l/grasp_easy.json,noise,6,0.8969707489013672,1.0
worlds/l/grasp_easy.json,noise,7,0.8370996713638306,1.0
worlds/l/grasp_easy.json,oracle,1,0.0,0.0
worlds/l/grasp_easy.json,oracle,2,0.0,0.0
worlds/l/grasp_easy.json,oracle,3,0.0,0.0
worlds/l/grasp_easy.json,oracle,4,0.0,0.0
worlds/l/grasp_easy.json,oracle,5,0.0,0.0
worlds/l/grasp_easy.json,oracle,6,0.0,0.0
worlds/l/grasp_easy.json,oracle,7,0.0,0.0
worlds/l/grasp_easy.json,phys0.1,1,0.38018810749053955,1.2673822770685101
worlds/l/grasp_easy.json,phys0.1,2,0.5247402787208557,1.154423356178736
worlds/l/grasp_easy.json,phys0.1,3,0.716559112071991,1.2432140053919394
worlds/l/grasp_easy.json,phys0.1,4,0.8839859962463379,1.3277549832808857
worlds/l/grasp_easy.json,phys0.1,5,0.9144244194030762,1.1642714913500938
worlds/l/grasp_easy.json,phys0.1,6,1.022452712059021,1.1398952678349292
worlds/l/grasp_easy.json,phys0.1,7,0.9778263568878174,1.16811222168408
worlds/l/grasp_easy.json,phys0.2,1,0.7195541858673096,2.3986816120527426
worlds/l/grasp_easy.json,phys0.2,2,0.9839956760406494,2.1647806293225242
worlds/l/grasp_easy.json,phys0.2,3,1.2016053199768066,2.084758308953784
worlds/l/grasp_easy.json,phys0.2,4,1.3098607063293457,1.9674226601073426
worlds/l/grasp_easy.json,phys0.2,5,1.4455231428146362,1.8404816730118587
worlds/l/grasp_easy.json,phys0.2,6,1.4904041290283203,1.6615972492456477
worlds/l/grasp_easy.json,phys0.2,7,1.53634774684906,1.835322362922436
worlds/l/grasp_easy.json,phys0.3,1,1.0276243686676025,3.425654003039652
worlds/l/grasp_easy.json,phys0.3,2,1.4306660890579224,3.1474510630809536
worlds/l/grasp_easy.json,phys0.3,3,1.5846003293991089,2.74924606954092
worlds/l/grasp_easy.json,phys0.3,4,1.714140772819519,2.5746549864143207
worlds/l/grasp_easy.json,phys0.3,5,1.9855310916900635,2.5280353369751594
worlds/l/grasp_easy.json,phys0.3,6,2.0862913131713867,2.3259301551658513
worlds/l/grasp_easy.json,phys0.3,7,2.1121621131896973,2.523190708877585
worlds/l/catapult.json,hold,1,1.264230489730835,21.747366795376692
worlds/l/catapult.json,hold,2,1.8021812438964844,21.83203127115422
worlds/l/catapult.json,hold,3,2.2843098640441895,21.37597034477311
worlds/l/catapult.json,hold,4,2.416595458984375,17.83235658077006
worlds/l/catapult.json,hold,5,2.912386894226074,23.45988495656163
worlds/l/catapult.json,hold,6,3.1390626430511475,21.721652099564164
worlds/l/catapult.json,hold,7,3.2971668243408203,20.25618449120953
worlds/l/catapult.json,learned,1,0.3810083866119385,6.554128541488237
worlds/l/catapult.json,learned,2,0.6462709903717041,7.829072974330258
worlds/l/catapult.json,learned,3,0.8663901686668396,8.107451114200972
worlds/l/catapult.json,learned,4,0.8625789880752563,6.365076966958428
worlds/l/catapult.json,learned,5,1.1059300899505615,8.908497951174358
worlds/l/catapult.json,learned,6,1.305309772491455,9.03246860109209
worlds/l/catapult.json,learned,7,1.4319202899932861,8.797019719076262
worlds/l/catapult.json,noise,1,0.05813257768750191,1.0
worlds/l/catapult.json,noise,2,0.08254757523536682,1.0
worlds/l/catapult.json,noise,3,0.10686344653367996,1.0
worlds/l/catapult.json,noise,4,0.1355174481868744,1.0
worlds/l/catapult.json,noise,5,0.12414327263832092,1.0
worlds/l/catapult.json,noise,6,0.1445130705833435,1.0
worlds/l/catapult.json,noise,7,0.16277334094047546,1.0
worlds/l/catapult.json,oracle,1,0.0,0.0
worlds/l/catapult.json,oracle,2,0.0,0.0
worlds/l/catapult.json,oracle,3,0.0,0.0
worlds/l/catapult.json,oracle,4,0.0,0.0
worlds/l/catapult.json,oracle,5,0.0,0.0
worlds/l/catapult.json,oracle,6,0.0,0.0
worlds/l/catapult.json,oracle,7,0.0,0.0
worlds/l/catapult.json,phys0.1,1,0.09026646614074707,1.5527690278243713
worlds/l/catapult.json,phys0.1,2,0.14962586760520935,1.8126016079646563
worlds/l/catapult.json,phys0.1,3,0.1289481818675995,1.2066631392705374
worlds/l/catapult.json,phys0.1,4,0.16762593388557434,1.2369324845493204
worlds/l/catapult.json,phys0.1,5,0.2056790292263031,1.656787555661824
worlds/l/catapult.json,phys0.1,6,0.20767554640769958,1.4370710245751026
worlds/l/catapult.json,phys0.1,7,0.21926340460777283,1.3470473932703464
worlds/l/catapult.json,phys0.2,1,0.18412664532661438,3.1673573175510557
worlds/l/catapult.json,phys0.2,2,0.2822594940662384,3.419355362788496
worlds/l/catapult.json,phys0.2,3,0.2742054760456085,2.5659426580368403
worlds/l/catapult.json,phys0.2,4,0.3333836793899536,2.4600793761274766
worlds/l/catapult.json,phys0.2,5,0.3685019314289093,2.968360053649488
worlds/l/catapult.json,phys0.2,6,0.3711163401603699,2.5680468808967687
worlds/l/catapult.json,phys0.2,7,0.3793257474899292,2.330392343723194
worlds/l/catapult.json,phys0.3,1,0.2706592082977295,4.655895524755293
worlds/l/catapult.json,phys0.3,2,0.38541585206985474,4.669014819283589
worlds/l/catapult.json,phys0.3,3,0.3710421025753021,3.472114316080583
worlds/l/catapult.json,phys0.3,4,0.4723586142063141,3.485592597308548
worlds/l/catapult.json,phys0.3,5,0.48514506220817566,3.9079448438708195
worlds/l/catapult.json,phys0.3,6,0.5341882705688477,3.6964702805949368
worlds/l/catapult.json,phys0.3,7,0.5524626970291138,3.394061299209578
worlds/l/cartpole_thrust.json,hold,1,832.0482788085938,75.07508929982791
worlds/l/cartpole_thrust.json,hold,2,14.15751838684082,16.67332437907376
worlds/l/cartpole_thrust.json,hold,3,3.937199831008911,5.895197522946604
worlds/l/cartpole_thrust.json,hold,4,7.388368606567383,7.698769526062948
worlds/l/cartpole_thrust.json,hold,5,3.847332000732422,4.387488210933796
worlds/l/cartpole_thrust.json,hold,6,7.490427017211914,6.9122320398921975
worlds/l/cartpole_thrust.json,hold,7,7.083963394165039,4.362041747576949
worlds/l/cartpole_thrust.json,learned,1,17.746492385864258,1.601252637088821
worlds/l/cartpole_thrust.json,learned,2,22.920671463012695,26.993699025968056
worlds/l/cartpole_thrust.json,learned,3,25.529537200927734,38.22555900860033
worlds/l/cartpole_thrust.json,learned,4,32.44513702392578,33.808225535296785
worlds/l/cartpole_thrust.json,learned,5,39.142234802246094,44.63771094144297
worlds/l/cartpole_thrust.json,learned,6,50.283363342285156,46.401930673567506
worlds/l/cartpole_thrust.json,learned,7,63.080955505371094,38.842911246283336
worlds/l/cartpole_thrust.json,noise,1,11.082880973815918,1.0
worlds/l/cartpole_thrust.json,noise,2,0.8491119146347046,1.0
worlds/l/cartpole_thrust.json,noise,3,0.6678656339645386,1.0
worlds/l/cartpole_thrust.json,noise,4,0.9596817493438721,1.0
worlds/l/cartpole_thrust.json,noise,5,0.8768871426582336,1.0
worlds/l/cartpole_thrust.json,noise,6,1.0836480855941772,1.0
worlds/l/cartpole_thrust.json,noise,7,1.6240017414093018,1.0
worlds/l/cartpole_thrust.json,oracle,1,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,2,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,3,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,4,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,5,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,6,0.0,0.0
worlds/l/cartpole_thrust.json,oracle,7,0.0,0.0
worlds/l/cartpole_thrust.json,phys0.1,1,14.828339576721191,1.3379499077680417
worlds/l/cartpole_thrust.json,phys0.1,2,5.39194393157959,6.350098071464763
worlds/l/cartpole_thrust.json,phys0.1,3,1.5653269290924072,2.3437752288591645
worlds/l/cartpole_thrust.json,phys0.1,4,4.481527805328369,4.6698062231488295
worlds/l/cartpole_thrust.json,phys0.1,5,2.059868097305298,2.3490686510249477
worlds/l/cartpole_thrust.json,phys0.1,6,2.4052085876464844,2.2195476738443918
worlds/l/cartpole_thrust.json,phys0.1,7,3.5089802742004395,2.160699822375413
worlds/l/cartpole_thrust.json,phys0.2,1,29.145959854125977,2.6298179979542637
worlds/l/cartpole_thrust.json,phys0.2,2,13.649566650390625,16.075109081778447
worlds/l/cartpole_thrust.json,phys0.2,3,2.93528151512146,4.395018048311965
worlds/l/cartpole_thrust.json,phys0.2,4,15.056321144104004,15.688868892628113
worlds/l/cartpole_thrust.json,phys0.2,5,3.511629104614258,4.004653431191787
worlds/l/cartpole_thrust.json,phys0.2,6,4.3919901847839355,4.052967234631116
worlds/l/cartpole_thrust.json,phys0.2,7,6.560751914978027,4.0398675368935475
worlds/l/cartpole_thrust.json,phys0.3,1,42.712860107421875,3.8539491859863872
worlds/l/cartpole_thrust.json,phys0.3,2,22.506296157836914,26.505688790763607
worlds/l/cartpole_thrust.json,phys0.3,3,4.886844635009766,7.317107493614862
worlds/l/cartpole_thrust.json,phys0.3,4,24.40106964111328,25.426209946991413
worlds/l/cartpole_thrust.json,phys0.3,5,6.510235786437988,7.424257318567333
worlds/l/cartpole_thrust.json,phys0.3,6,7.198082447052002,6.642453895080899
worlds/l/cartpole_thrust.json,phys0.3,7,36.247684478759766,22.31997882422477
worlds/l/hard_lunar_lander.json,hold,1,0.7571711540222168,10.7108956547144
worlds/l/hard_lunar_lander.json,hold,2,1.536602258682251,15.06223961053046
worlds/l/hard_lunar_lander.json,hold,3,2.1450908184051514,15.341131074605704
worlds/l/hard_lunar_lander.json,hold,4,2.5904645919799805,12.485457189745505
worlds/l/hard_lunar_lander.json,hold,5,3.0602307319641113,13.944333912331187
worlds/l/hard_lunar_lander.json,hold,6,3.4943184852600098,13.287408373444919
worlds/l/hard_lunar_lander.json,hold,7,3.906154155731201,13.471457809853856
worlds/l/hard_lunar_lander.json,learned,1,0.18062353134155273,2.555089145575984
worlds/l/hard_lunar_lander.json,learned,2,0.2805348038673401,2.749886908643948
worlds/l/hard_lunar_lander.json,learned,3,0.42460450530052185,3.0366608792472634
worlds/l/hard_lunar_lander.json,learned,4,0.5392324924468994,2.598979434271904
worlds/l/hard_lunar_lander.json,learned,5,0.8715792894363403,3.9714628429903667
worlds/l/hard_lunar_lander.json,learned,6,1.4074859619140625,5.352071036092607
worlds/l/hard_lunar_lander.json,learned,7,1.9184073209762573,6.6161606163770745
worlds/l/hard_lunar_lander.json,noise,1,0.07069167494773865,1.0
worlds/l/hard_lunar_lander.json,noise,2,0.10201685130596161,1.0
worlds/l/hard_lunar_lander.json,noise,3,0.13982611894607544,1.0
worlds/l/hard_lunar_lander.json,noise,4,0.20747855305671692,1.0
worlds/l/hard_lunar_lander.json,noise,5,0.21946051716804504,1.0
worlds/l/hard_lunar_lander.json,noise,6,0.2629796862602234,1.0
worlds/l/hard_lunar_lander.json,noise,7,0.28995779156684875,1.0
worlds/l/hard_lunar_lander.json,oracle,1,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,2,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,3,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,4,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,5,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,6,0.0,0.0
worlds/l/hard_lunar_lander.json,oracle,7,0.0,0.0
worlds/l/hard_lunar_lander.json,phys0.1,1,0.06389878690242767,0.9039082317637422
worlds/l/hard_lunar_lander.json,phys0.1,2,0.13268877565860748,1.3006554697581956
worlds/l/hard_lunar_lander.json,phys0.1,3,0.19943737983703613,1.4263242185385268
worlds/l/hard_lunar_lander.json,phys0.1,4,0.35713785886764526,1.7213242217378346
worlds/l/hard_lunar_lander.json,phys0.1,5,0.33387187123298645,1.5213300120738096
worlds/l/hard_lunar_lander.json,phys0.1,6,0.5222874879837036,1.986037383385157
worlds/l/hard_lunar_lander.json,phys0.1,7,0.5426496267318726,1.8714779961578187
worlds/l/hard_lunar_lander.json,phys0.2,1,0.12950173020362854,1.831923353059145
worlds/l/hard_lunar_lander.json,phys0.2,2,0.2640078663825989,2.587884873948966
worlds/l/hard_lunar_lander.json,phys0.2,3,0.39715099334716797,2.840320509076927
worlds/l/hard_lunar_lander.json,phys0.2,4,0.6129487156867981,2.9542750643688973
worlds/l/hard_lunar_lander.json,phys0.2,5,0.6904311180114746,3.1460379612739113
worlds/l/hard_lunar_lander.json,phys0.2,6,0.9004223346710205,3.4239235260933256
worlds/l/hard_lunar_lander.json,phys0.2,7,0.9964866638183594,3.4366611030992864
worlds/l/hard_lunar_lander.json,phys0.3,1,0.19544170796871185,2.7647061427416895
worlds/l/hard_lunar_lander.json,phys0.3,2,0.3948828876018524,3.870761374682581
worlds/l/hard_lunar_lander.json,phys0.3,3,0.5885776281356812,4.209353964567011
worlds/l/hard_lunar_lander.json,phys0.3,4,0.8772242665290833,4.2280238299583806
worlds/l/hard_lunar_lander.json,phys0.3,5,1.093430519104004,4.982356431187773
worlds/l/hard_lunar_lander.json,phys0.3,6,1.32722806930542,5.04688437414935
worlds/l/hard_lunar_lander.json,phys0.3,7,1.474308967590332,5.084564065768294
worlds/l/mjc_half_cheetah.json,hold,1,4.11610221862793,18.55525143674976
