what,where,mean,lo,hi,cells
G pred:learned,d1 s1,1.1501736111111112,-0.3797743055555555,2.799479166666667,36
G pred:oracle,d1 s1,2.419704861111111,0.6401909722222222,4.470486111111112,36
G pred:phys0.1,d1 s1,0.5750868055555556,-0.5425347222222222,1.7361111111111112,36
G pred:phys0.2,d1 s1,-0.87890625,-1.9859483506944442,0.20616319444444445,36
G pred:phys0.3,d1 s1,-2.549913194444444,-4.00390625,-1.1827256944444444,36
G reflex:learned,d1 s1,1.4539930555555556,0.32552083333333337,2.6909722222222223,36
G reflex:oracle,d1 s1,2.061631944444444,0.5205620659722224,3.7977430555555554,36
G reflex:phys0.1,d1 s1,1.215277777777778,-0.08680555555555555,2.625868055555556,36
G reflex:phys0.2,d1 s1,0.4448784722222222,-0.8897569444444444,1.7686631944444444,36
G reflex:phys0.3,d1 s1,-0.4774305555555556,-1.8771701388888888,0.759548611111111,36
G rtc_reflex:learned,d1 s1,0.8138020833333334,0.07595486111111112,1.5950520833333333,36
G rtc_reflex:oracle,d1 s1,0.2170138888888889,-0.4665798611111111,0.8897569444444444,36
G rtc_reflex:phys0.2,d1 s1,-0.3038194444444445,-1.0091145833333335,0.3797743055555555,36
J learned,d1 s1,0.3038194444444445,-0.662163628472222,1.2478298611111112,36
J oracle,d1 s1,-0.35807291666666663,-1.171875,0.4123263888888889,36
J phys0.1,d1 s1,0.6401909722222222,-0.26041666666666663,1.6167534722222223,36
J phys0.2,d1 s1,1.323784722222222,0.390625,2.354600694444444,36
J phys0.3,d1 s1,2.072482638888889,1.193305121527778,3.02734375,36
pred: learned - oracle,d1 s1,-1.26953125,-2.354600694444444,-0.3146701388888889,36
reflex: learned - oracle,d1 s1,-0.607638888888889,-1.6927083333333333,0.29296875,36
rtc_reflex: learned - oracle,d1 s1,0.5967881944444444,-0.15190972222222224,1.3346354166666665,36
G pred:learned,d1 s2,0.15190972222222224,-1.0959201388888888,1.4431423611111112,36
G pred:oracle,d1 s2,0.8246527777777778,-0.6510416666666667,2.278645833333333,36
G pred:phys0.1,d1 s2,-0.5750868055555556,-2.061631944444444,0.9765625,36
G pred:phys0.2,d1 s2,-3.244357638888889,-5.284288194444445,-1.3563368055555556,36
G pred:phys0.3,d1 s2,-6.336805555555555,-8.88699001736111,-4.036458333333334,36
G reflex:learned,d1 s2,1.0091145833333335,-0.4665798611111111,2.604166666666667,36
G reflex:oracle,d1 s2,1.0633680555555556,-0.6401909722222222,2.756076388888889,36
G reflex:phys0.1,d1 s2,1.0416666666666665,-0.6401909722222222,2.821451822916663,36
G reflex:phys0.2,d1 s2,-0.2821180555555555,-1.7578125,1.1612955729166627,36
G reflex:phys0.3,d1 s2,-2.235243055555556,-4.372829861111112,-0.26014539930555947,36
G rtc_reflex:learned,d1 s2,0.5967881944444444,-0.2712673611111111,1.508246527777778,36
G rtc_reflex:oracle,d1 s2,0.14105902777777776,-0.6727430555555556,1.0091145833333335,36
G rtc_reflex:phys0.2,d1 s2,0.03255208333333333,-1.0091145833333335,1.0525173611111112,36
J learned,d1 s2,0.8572048611111112,-0.010850694444444444,1.7144097222222223,36
J oracle,d1 s2,0.2387152777777778,-0.607638888888889,1.0850694444444444,36
J phys0.1,d1 s2,1.6167534722222223,0.7378472222222222,2.615017361111111,36
J phys0.2,d1 s2,2.962239583333333,1.66015625,4.405381944444445,36
J phys0.3,d1 s2,4.1015625,2.799479166666667,5.392795138888888,36
pred: learned - oracle,d1 s2,-0.6727430555555556,-1.7578125,0.3797743055555555,36
reflex: learned - oracle,d1 s2,-0.054253472222222224,-1.019965277777778,0.8246527777777778,36
rtc_reflex: learned - oracle,d1 s2,0.4557291666666667,-0.2387152777777778,1.096191406249996,36
G pred:learned,d1 s3,-1.5625,-3.4616427951388884,0.22786458333333334,36
G pred:oracle,d1 s3,-1.0525173611111112,-2.723524305555556,0.6293402777777778,36
G pred:phys0.1,d1 s3,-2.311197916666667,-4.296875,-0.4014756944444444,36
G pred:phys0.2,d1 s3,-5.935329861111112,-8.311631944444445,-3.689236111111111,36
G pred:phys0.3,d1 s3,-9.15798611111111,-11.686197916666668,-6.727430555555555,36
G reflex:learned,d1 s3,0.6944444444444444,-1.2369791666666665,2.756076388888889,36
G reflex:oracle,d1 s3,0.68359375,-0.9874131944444444,2.473958333333333,36
G reflex:phys0.1,d1 s3,0.09765625,-1.9208441840277777,2.159288194444444,36
G reflex:phys0.2,d1 s3,-1.7469618055555556,-3.765462239583333,0.2170138888888889,36
G reflex:phys0.3,d1 s3,-3.3311631944444446,-5.859375,-1.1390516493055594,36
G rtc_reflex:learned,d1 s3,0.9874131944444444,0.3363715277777778,1.66015625,36
G rtc_reflex:oracle,d1 s3,0.3363715277777778,-0.390625,1.07421875,36
G rtc_reflex:phys0.2,d1 s3,-0.06510416666666666,-1.030815972222222,0.9548611111111112,36
J learned,d1 s3,2.256944444444444,1.019965277777778,3.5698784722222223,36
J oracle,d1 s3,1.7361111111111112,0.8463541666666666,2.658691406249996,36
J phys0.1,d1 s3,2.408854166666667,1.1501736111111112,3.7760416666666665,36
J phys0.2,d1 s3,4.188368055555555,2.419704861111111,6.087510850694441,36
J phys0.3,d1 s3,5.826822916666666,4.405381944444445,7.259114583333333,36
pred: learned - oracle,d1 s3,-0.509982638888889,-1.46484375,0.4014756944444444,36
reflex: learned - oracle,d1 s3,0.010850694444444444,-0.8572048611111112,0.8680555555555556,36
rtc_reflex: learned - oracle,d1 s3,0.6510416666666667,-0.10850694444444445,1.3997395833333335,36
