level,predictor,k,err,ratio
worlds/l/grasp_easy.json,hold,1,2.814117431640625,9.292193812657604
worlds/l/grasp_easy.json,hold,2,3.946570873260498,9.148514178424046
worlds/l/grasp_easy.json,hold,3,4.92110538482666,8.353151379787187
worlds/l/grasp_easy.json,hold,4,5.768550872802734,8.982628612882273
worlds/l/grasp_easy.json,hold,5,6.402153968811035,8.41323599146726
worlds/l/grasp_easy.json,hold,6,6.893322944641113,7.7955617563132344
worlds/l/grasp_easy.json,hold,7,7.314267635345459,8.577137028225495
worlds/l/grasp_easy.json,learned,1,0.8651357889175415,2.8566716280214037
worlds/l/grasp_easy.json,learned,2,1.1781747341156006,2.7311173689407866
worlds/l/grasp_easy.json,learned,3,1.2910199165344238,2.1913948094635485
worlds/l/grasp_easy.json,learned,4,1.3896174430847168,2.1638740266753196
worlds/l/grasp_easy.json,learned,5,1.5300745964050293,2.0107105712884312
worlds/l/grasp_easy.json,learned,6,1.6863830089569092,1.9071067751643478
worlds/l/grasp_easy.json,learned,7,1.6937260627746582,1.9861620127889899
worlds/l/grasp_easy.json,noise,1,0.3028474748134613,1.0
worlds/l/grasp_easy.json,noise,2,0.4313892722129822,1.0
worlds/l/grasp_easy.json,noise,3,0.5891315937042236,1.0
worlds/l/grasp_easy.json,noise,4,0.642189621925354,1.0
worlds/l/grasp_easy.json,noise,5,0.7609621286392212,1.0
worlds/l/grasp_easy.json,noise,6,0.8842625021934509,1.0
worlds/l/grasp_easy.json,noise,7,0.852763295173645,1.0
worlds/l/grasp_easy.json,oracle,1,0.0,0.0
worlds/l/grasp_easy.json,oracle,2,0.0,0.0
worlds/l/grasp_easy.json,oracle,3,0.0,0.0
worlds/l/grasp_easy.json,oracle,4,0.0,0.0
worlds/l/grasp_easy.json,oracle,5,0.0,0.0
worlds/l/grasp_easy.json,oracle,6,0.0,0.0
worlds/l/grasp_easy.json,oracle,7,0.0,0.0
worlds/l/grasp_easy.json,phys0.1,1,0.4119162857532501,1.3601443631219632
worlds/l/grasp_easy.json,phys0.1,2,0.5785207152366638,1.3410642139265834
worlds/l/grasp_easy.json,phys0.1,3,0.7404333353042603,1.256821639200695
worlds/l/grasp_easy.json,phys0.1,4,0.9036263227462769,1.4071020332547688
worlds/l/grasp_easy.json,phys0.1,5,0.8994120359420776,1.1819406013679516
worlds/l/grasp_easy.json,phys0.1,6,0.9998986124992371,1.1307712472472211
worlds/l/grasp_easy.json,phys0.1,7,0.9604040384292603,1.1262258165481862
worlds/l/grasp_easy.json,phys0.2,1,0.7328989505767822,2.420026619103266
worlds/l/grasp_easy.json,phys0.2,2,1.0047978162765503,2.329213731074122
worlds/l/grasp_easy.json,phys0.2,3,1.2162381410598755,2.0644592041188234
worlds/l/grasp_easy.json,phys0.2,4,1.33237624168396,2.0747396036848924
worlds/l/grasp_easy.json,phys0.2,5,1.4152261018753052,1.85978519641452
worlds/l/grasp_easy.json,phys0.2,6,1.515560269355774,1.7139257467057145
worlds/l/grasp_easy.json,phys0.2,7,1.530806064605713,1.7951125162979729
worlds/l/grasp_easy.json,phys0.3,1,1.0557942390441895,3.486224343440556
worlds/l/grasp_easy.json,phys0.3,2,1.4449288845062256,3.3494780180644974
worlds/l/grasp_easy.json,phys0.3,3,1.6079256534576416,2.729314928346736
worlds/l/grasp_easy.json,phys0.3,4,1.7344794273376465,2.700883614620693
worlds/l/grasp_easy.json,phys0.3,5,1.9566437005996704,2.5712760556147627
worlds/l/grasp_easy.json,phys0.3,6,2.084286689758301,2.357090439307489
worlds/l/grasp_easy.json,phys0.3,7,2.1184241771698,2.4841878035316154
worlds/l/catapult.json,hold,1,1.2569212913513184,20.77673818829647
worlds/l/catapult.json,hold,2,1.7343195676803589,21.15606824831559
worlds/l/catapult.json,hold,3,2.339777946472168,25.458625394964173
worlds/l/catapult.json,hold,4,2.63802433013916,19.555846589479344
worlds/l/catapult.json,hold,5,3.017810344696045,23.37862996367179
worlds/l/catapult.json,hold,6,3.231210708618164,21.997113348349547
worlds/l/catapult.json,hold,7,3.3501319885253906,21.61960123130348
worlds/l/catapult.json,learned,1,0.34135735034942627,5.64259062652657
worlds/l/catapult.json,learned,2,0.6122045516967773,7.467966987738872
worlds/l/catapult.json,learned,3,0.849366307258606,9.241773849610095
worlds/l/catapult.json,learned,4,0.8956143856048584,6.639247912962005
