spec,seed,solved,length
realtime,0,True,193
realtime,1,False,256
realtime,2,False,256
realtime,3,False,256
realtime,4,True,167
realtime,5,False,256
realtime,6,True,217
realtime,7,False,256
realtime,8,False,256
realtime,9,False,230
realtime,10,False,256
realtime,11,True,241
realtime,12,False,256
realtime,13,False,256
realtime,14,True,205
realtime,15,False,256
pred:learned,0,True,247
pred:learned,1,True,214
pred:learned,2,False,256
pred:learned,3,True,231
pred:learned,4,True,190
pred:learned,5,True,159
pred:learned,6,True,217
pred:learned,7,True,207
pred:learned,8,True,254
pred:learned,9,True,185
pred:learned,10,False,256
pred:learned,11,False,256
pred:learned,12,True,196
pred:learned,13,True,226
pred:learned,14,True,145
pred:learned,15,False,256
reflex:learned,0,False,256
reflex:learned,1,True,212
reflex:learned,2,True,213
reflex:learned,3,False,256
reflex:learned,4,True,168
reflex:learned,5,True,203
reflex:learned,6,True,247
reflex:learned,7,False,256
reflex:learned,8,True,174
reflex:learned,9,True,233
reflex:learned,10,True,201
reflex:learned,11,True,167
reflex:learned,12,True,181
reflex:learned,13,False,256
reflex:learned,14,True,145
reflex:learned,15,False,256
