spec,seed,solved,length
pred:phys0.2,0,False,256
pred:phys0.2,1,False,256
pred:phys0.2,2,True,253
pred:phys0.2,3,True,206
pred:phys0.2,4,True,256
pred:phys0.2,5,True,228
pred:phys0.2,6,False,156
pred:phys0.2,7,True,230
pred:phys0.2,8,False,256
pred:phys0.2,9,False,256
pred:phys0.2,10,False,256
pred:phys0.2,11,False,256
pred:phys0.2,12,False,256
pred:phys0.2,13,True,162
pred:phys0.2,14,False,256
pred:phys0.2,15,True,241
reflex:phys0.2,0,False,256
reflex:phys0.2,1,True,222
reflex:phys0.2,2,True,233
reflex:phys0.2,3,True,223
reflex:phys0.2,4,False,256
reflex:phys0.2,5,True,239
reflex:phys0.2,6,True,225
reflex:phys0.2,7,True,186
reflex:phys0.2,8,False,203
reflex:phys0.2,9,True,179
reflex:phys0.2,10,True,239
reflex:phys0.2,11,False,256
reflex:phys0.2,12,True,158
reflex:phys0.2,13,True,179
reflex:phys0.2,14,False,256
reflex:phys0.2,15,False,181
