spec,seed,solved,length
realtime,0,False,256
realtime,1,True,48
realtime,2,False,256
realtime,3,False,256
realtime,4,True,49
realtime,5,False,256
realtime,6,False,256
realtime,7,True,48
realtime,8,False,256
realtime,9,True,48
realtime,10,False,256
realtime,11,False,256
realtime,12,False,256
realtime,13,True,48
realtime,14,True,47
realtime,15,False,256
reflex:learned,0,False,256
reflex:learned,1,True,49
reflex:learned,2,False,256
reflex:learned,3,True,56
reflex:learned,4,False,256
reflex:learned,5,False,256
reflex:learned,6,False,256
reflex:learned,7,True,69
reflex:learned,8,False,256
reflex:learned,9,False,256
reflex:learned,10,True,49
reflex:learned,11,False,256
reflex:learned,12,False,256
reflex:learned,13,False,256
reflex:learned,14,False,256
reflex:learned,15,False,256
