returned_episode_lengths,returned_episode_returns,returned_episode_solved,solved_length,seed,delay,method,level,execute_horizon,max_correction,kick_std
35.0625,0.375,0.53125,37.705883,0,4,naive,worlds/l/grasp_easy.json,4,,0.0
167.89062,0.4375,0.421875,53.88889,0,4,naive,worlds/l/catapult.json,4,,0.0
50.1875,0.1875,0.40625,48.807693,0,4,naive,worlds/l/cartpole_thrust.json,4,,0.0
61.859375,0.375,0.578125,52.945946,0,4,naive,worlds/l/hard_lunar_lander.json,4,,0.0
132.84375,0.75,0.6875,119.25,0,4,naive,worlds/l/mjc_half_cheetah.json,4,,0.0
249.46875,0.15625,0.15625,214.2,0,4,naive,worlds/l/mjc_swimmer.json,4,,0.0
211.15625,-0.125,0.0,,0,4,naive,worlds/l/mjc_walker.json,4,,0.0
109.9375,0.421875,0.59375,93.39474,0,4,naive,worlds/l/h17_unicycle.json,4,,0.0
48.828125,0.984375,0.90625,49.0,0,4,naive,worlds/l/chain_lander.json,4,,0.0
67.265625,-0.140625,0.25,72.8125,0,4,naive,worlds/l/catcher_v3.json,4,,0.0
177.98438,0.625,0.703125,166.57777,0,4,naive,worlds/l/trampoline.json,4,,0.0
83.515625,0.46875,0.5625,51.416668,0,4,naive,worlds/l/car_launch.json,4,,0.0
40.953125,0.890625,0.890625,38.210526,0,4,realtime,worlds/l/grasp_easy.json,4,,0.0
152.125,0.515625,0.484375,54.903225,0,4,realtime,worlds/l/catapult.json,4,,0.0
52.09375,0.09375,0.453125,48.86207,0,4,realtime,worlds/l/cartpole_thrust.json,4,,0.0
54.234375,0.84375,0.84375,49.648148,0,4,realtime,worlds/l/hard_lunar_lander.json,4,,0.0
89.265625,0.953125,0.828125,84.98113,0,4,realtime,worlds/l/mjc_half_cheetah.json,4,,0.0
243.84375,0.375,0.328125,220.90475,0,4,realtime,worlds/l/mjc_swimmer.json,4,,0.0
233.73438,0.171875,0.1875,188.25,0,4,realtime,worlds/l/mjc_walker.json,4,,0.0
111.484375,0.453125,0.546875,85.02857,0,4,realtime,worlds/l/h17_unicycle.json,4,,0.0
51.9375,0.984375,0.890625,48.57895,0,4,realtime,worlds/l/chain_lander.json,4,,0.0
67.796875,0.328125,0.46875,69.53333,0,4,realtime,worlds/l/catcher_v3.json,4,,0.0
176.1875,0.78125,0.84375,165.42592,0,4,realtime,worlds/l/trampoline.json,4,,0.0
70.46875,0.625,0.765625,49.959183,0,4,realtime,worlds/l/car_launch.json,4,,0.0
35.46875,0.859375,0.84375,35.907406,0,4,reflex,worlds/l/grasp_easy.json,4,1.0,0.0
189.29688,0.328125,0.3125,51.8,0,4,reflex,worlds/l/catapult.json,4,1.0,0.0
50.75,0.65625,0.75,53.104168,0,4,reflex,worlds/l/cartpole_thrust.json,4,1.0,0.0
49.359375,0.984375,0.921875,49.20339,0,4,reflex,worlds/l/hard_lunar_lander.json,4,1.0,0.0
76.46875,0.984375,0.828125,76.0566,0,4,reflex,worlds/l/mjc_half_cheetah.json,4,1.0,0.0
213.71875,0.75,0.640625,200.63414,0,4,reflex,worlds/l/mjc_swimmer.json,4,1.0,0.0
199.20312,0.6875,0.5625,171.36111,0,4,reflex,worlds/l/mjc_walker.json,4,1.0,0.0
85.9375,0.765625,0.8125,75.84615,0,4,reflex,worlds/l/h17_unicycle.json,4,1.0,0.0
50.34375,0.953125,0.9375,50.666668,0,4,reflex,worlds/l/chain_lander.json,4,1.0,0.0
68.625,0.84375,0.890625,68.17544,0,4,reflex,worlds/l/catcher_v3.json,4,1.0,0.0
178.26562,0.828125,0.8125,167.92308,0,4,reflex,worlds/l/trampoline.json,4,1.0,0.0
71.109375,0.875,0.859375,48.054546,0,4,reflex,worlds/l/car_launch.json,4,1.0,0.0
39.921875,0.890625,0.921875,36.61017,0,4,rtc_reflex,worlds/l/grasp_easy.json,4,1.0,0.0
157.14062,0.484375,0.484375,51.903225,0,4,rtc_reflex,worlds/l/catapult.json,4,1.0,0.0
50.390625,0.359375,0.546875,47.342857,0,4,rtc_reflex,worlds/l/cartpole_thrust.json,4,1.0,0.0
52.53125,0.796875,0.828125,50.490566,0,4,rtc_reflex,worlds/l/hard_lunar_lander.json,4,1.0,0.0
84.875,0.96875,0.90625,84.51724,0,4,rtc_reflex,worlds/l/mjc_half_cheetah.json,4,1.0,0.0
226.78125,0.6875,0.5625,213.08333,0,4,rtc_reflex,worlds/l/mjc_swimmer.json,4,1.0,0.0
228.0,0.3125,0.3125,185.05,0,4,rtc_reflex,worlds/l/mjc_walker.json,4,1.0,0.0
90.421875,0.65625,0.734375,87.42553,0,4,rtc_reflex,worlds/l/h17_unicycle.json,4,1.0,0.0
49.015625,1.0,0.921875,49.101696,0,4,rtc_reflex,worlds/l/chain_lander.json,4,1.0,0.0
67.96875,0.25,0.46875,69.333336,0,4,rtc_reflex,worlds/l/catcher_v3.json,4,1.0,0.0
175.82812,0.84375,0.875,166.16072,0,4,rtc_reflex,worlds/l/trampoline.json,4,1.0,0.0
67.859375,0.78125,0.828125,52.018867,0,4,rtc_reflex,worlds/l/car_launch.json,4,1.0,0.0
