returned_episode_lengths,returned_episode_returns,returned_episode_solved,solved_length,seed,delay,method,level,execute_horizon,max_correction,kick_std
36.59375,0.578125,0.703125,38.91111,0,2,naive,worlds/l/grasp_easy.json,6,,1.0851
117.53125,0.828125,0.8125,89.30769,0,2,naive,worlds/l/catapult.json,6,,1.0851
45.78125,-0.046875,0.328125,49.666668,0,2,naive,worlds/l/cartpole_thrust.json,6,,1.0851
60.171875,0.453125,0.65625,54.5,0,2,naive,worlds/l/hard_lunar_lander.json,6,,1.0851
89.03125,0.90625,0.84375,86.62963,0,2,naive,worlds/l/mjc_half_cheetah.json,6,,1.0851
234.42188,0.5,0.421875,214.88889,0,2,naive,worlds/l/mjc_swimmer.json,6,,1.0851
197.95312,-0.078125,0.03125,151.5,0,2,naive,worlds/l/mjc_walker.json,6,,1.0851
94.390625,0.359375,0.578125,95.02702,0,2,naive,worlds/l/h17_unicycle.json,6,,1.0851
54.828125,0.953125,0.859375,56.127274,0,2,naive,worlds/l/chain_lander.json,6,,1.0851
70.34375,0.09375,0.40625,72.42308,0,2,naive,worlds/l/catcher_v3.json,6,,1.0851
117.25,-0.21875,0.140625,148.55556,0,2,naive,worlds/l/trampoline.json,6,,1.0851
94.53125,0.40625,0.5625,48.5,0,2,naive,worlds/l/car_launch.json,6,,1.0851
40.859375,0.859375,0.921875,38.084747,0,2,realtime,worlds/l/grasp_easy.json,6,,1.0851
108.640625,0.765625,0.75,63.5625,0,2,realtime,worlds/l/catapult.json,6,,1.0851
45.828125,0.109375,0.40625,50.384617,0,2,realtime,worlds/l/cartpole_thrust.json,6,,1.0851
58.84375,0.515625,0.625,51.9,0,2,realtime,worlds/l/hard_lunar_lander.json,6,,1.0851
83.78125,0.953125,0.921875,83.33898,0,2,realtime,worlds/l/mjc_half_cheetah.json,6,,1.0851
228.6875,0.578125,0.4375,210.67857,0,2,realtime,worlds/l/mjc_swimmer.json,6,,1.0851
207.67188,0.046875,0.140625,187.55556,0,2,realtime,worlds/l/mjc_walker.json,6,,1.0851
86.3125,0.28125,0.5625,92.77778,0,2,realtime,worlds/l/h17_unicycle.json,6,,1.0851
51.390625,0.90625,0.875,51.57143,0,2,realtime,worlds/l/chain_lander.json,6,,1.0851
71.984375,0.390625,0.5625,71.47222,0,2,realtime,worlds/l/catcher_v3.json,6,,1.0851
115.84375,-0.21875,0.125,152.125,0,2,realtime,worlds/l/trampoline.json,6,,1.0851
105.828125,0.453125,0.578125,47.945946,0,2,realtime,worlds/l/car_launch.json,6,,1.0851
34.71875,0.6875,0.765625,37.959183,0,2,pred,worlds/l/grasp_easy.json,6,1.0,1.0851
99.0,0.84375,0.796875,70.13725,0,2,pred,worlds/l/catapult.json,6,1.0,1.0851
46.9375,0.0625,0.375,53.208332,0,2,pred,worlds/l/cartpole_thrust.json,6,1.0,1.0851
57.375,0.59375,0.65625,52.142857,0,2,pred,worlds/l/hard_lunar_lander.json,6,1.0,1.0851
84.890625,0.9375,0.875,81.71429,0,2,pred,worlds/l/mjc_half_cheetah.json,6,1.0,1.0851
231.65625,0.640625,0.578125,219.2973,0,2,pred,worlds/l/mjc_swimmer.json,6,1.0,1.0851
186.64062,0.359375,0.453125,182.41379,0,2,pred,worlds/l/mjc_walker.json,6,1.0,1.0851
77.03125,0.203125,0.4375,85.85714,0,2,pred,worlds/l/h17_unicycle.json,6,1.0,1.0851
50.734375,0.84375,0.859375,51.4,0,2,pred,worlds/l/chain_lander.json,6,1.0,1.0851
71.984375,0.25,0.4375,68.39286,0,2,pred,worlds/l/catcher_v3.json,6,1.0,1.0851
117.796875,-0.21875,0.171875,147.09091,0,2,pred,worlds/l/trampoline.json,6,1.0,1.0851
106.265625,0.40625,0.515625,56.666668,0,2,pred,worlds/l/car_launch.json,6,1.0,1.0851
35.75,0.859375,0.859375,37.272728,0,2,reflex,worlds/l/grasp_easy.json,6,1.0,1.0851
117.34375,0.75,0.734375,71.319145,0,2,reflex,worlds/l/catapult.json,6,1.0,1.0851
51.140625,0.3125,0.5,56.40625,0,2,reflex,worlds/l/cartpole_thrust.json,6,1.0,1.0851
58.5625,0.734375,0.75,53.3125,0,2,reflex,worlds/l/hard_lunar_lander.json,6,1.0,1.0851
79.21875,0.921875,0.765625,79.14286,0,2,reflex,worlds/l/mjc_half_cheetah.json,6,1.0,1.0851
210.625,0.75,0.671875,194.11627,0,2,reflex,worlds/l/mjc_swimmer.json,6,1.0,1.0851
182.59375,0.328125,0.375,172.875,0,2,reflex,worlds/l/mjc_walker.json,6,1.0,1.0851
78.859375,0.0,0.390625,81.04,0,2,reflex,worlds/l/h17_unicycle.json,6,1.0,1.0851
53.4375,0.953125,0.9375,52.933334,0,2,reflex,worlds/l/chain_lander.json,6,1.0,1.0851
71.390625,0.140625,0.421875,70.111115,0,2,reflex,worlds/l/catcher_v3.json,6,1.0,1.0851
115.96875,-0.171875,0.1875,152.58333,0,2,reflex,worlds/l/trampoline.json,6,1.0,1.0851
108.75,0.59375,0.625,48.575,0,2,reflex,worlds/l/car_launch.json,6,1.0,1.0851
35.4375,0.875,0.890625,35.842106,0,2,rtc_reflex,worlds/l/grasp_easy.json,6,1.0,1.0851
112.0,0.78125,0.75,72.145836,0,2,rtc_reflex,worlds/l/catapult.json,6,1.0,1.0851
48.03125,0.15625,0.40625,52.5,0,2,rtc_reflex,worlds/l/cartpole_thrust.json,6,1.0,1.0851
58.421875,0.703125,0.765625,51.367348,0,2,rtc_reflex,worlds/l/hard_lunar_lander.json,6,1.0,1.0851
83.90625,0.921875,0.84375,82.81481,0,2,rtc_reflex,worlds/l/mjc_half_cheetah.json,6,1.0,1.0851
216.67188,0.78125,0.671875,205.51163,0,2,rtc_reflex,worlds/l/mjc_swimmer.json,6,1.0,1.0851
196.39062,0.140625,0.28125,188.27777,0,2,rtc_reflex,worlds/l/mjc_walker.json,6,1.0,1.0851
87.9375,0.203125,0.46875,91.3,0,2,rtc_reflex,worlds/l/h17_unicycle.json,6,1.0,1.0851
49.921875,0.90625,0.890625,50.736843,0,2,rtc_reflex,worlds/l/chain_lander.json,6,1.0,1.0851
73.921875,0.4375,0.546875,72.37143,0,2,rtc_reflex,worlds/l/catcher_v3.json,6,1.0,1.0851
111.703125,-0.28125,0.109375,145.42857,0,2,rtc_reflex,worlds/l/trampoline.json,6,1.0,1.0851
94.140625,0.40625,0.5625,48.36111,0,2,rtc_reflex,worlds/l/car_launch.json,6,1.0,1.0851
