returned_episode_lengths,returned_episode_returns,returned_episode_solved,solved_length,seed,delay,method,level,execute_horizon,max_correction,kick_std
39.3125,0.59375,0.703125,42.577778,0,2,naive,worlds/l/grasp_easy.json,6,,0.0
172.78125,0.40625,0.390625,51.04,0,2,naive,worlds/l/catapult.json,6,,0.0
59.328125,0.421875,0.625,50.2,0,2,naive,worlds/l/cartpole_thrust.json,6,,0.0
55.71875,0.8125,0.859375,52.563637,0,2,naive,worlds/l/hard_lunar_lander.json,6,,0.0
87.6875,0.984375,0.8125,86.92308,0,2,naive,worlds/l/mjc_half_cheetah.json,6,,0.0
236.875,0.46875,0.421875,216.07408,0,2,naive,worlds/l/mjc_swimmer.json,6,,0.0
232.375,0.140625,0.171875,176.27272,0,2,naive,worlds/l/mjc_walker.json,6,,0.0
93.640625,0.8125,0.859375,87.30909,0,2,naive,worlds/l/h17_unicycle.json,6,,0.0
52.71875,0.984375,0.921875,49.728813,0,2,naive,worlds/l/chain_lander.json,6,,0.0
67.75,0.28125,0.453125,69.586205,0,2,naive,worlds/l/catcher_v3.json,6,,0.0
177.09375,0.71875,0.78125,163.52,0,2,naive,worlds/l/trampoline.json,6,,0.0
82.5625,0.796875,0.8125,49.096153,0,2,naive,worlds/l/car_launch.json,6,,0.0
39.078125,0.90625,0.9375,35.666668,0,2,realtime,worlds/l/grasp_easy.json,6,,0.0
134.73438,0.59375,0.59375,51.763157,0,2,realtime,worlds/l/catapult.json,6,,0.0
56.921875,0.796875,0.859375,53.890907,0,2,realtime,worlds/l/cartpole_thrust.json,6,,0.0
53.78125,0.90625,0.90625,49.948277,0,2,realtime,worlds/l/hard_lunar_lander.json,6,,0.0
88.625,0.984375,0.859375,88.27273,0,2,realtime,worlds/l/mjc_half_cheetah.json,6,,0.0
228.76562,0.625,0.578125,211.89189,0,2,realtime,worlds/l/mjc_swimmer.json,6,,0.0
224.125,0.28125,0.3125,187.6,0,2,realtime,worlds/l/mjc_walker.json,6,,0.0
91.453125,0.734375,0.796875,80.60784,0,2,realtime,worlds/l/h17_unicycle.json,6,,0.0
48.875,1.0,0.921875,49.050846,0,2,realtime,worlds/l/chain_lander.json,6,,0.0
67.5625,0.46875,0.578125,67.97298,0,2,realtime,worlds/l/catcher_v3.json,6,,0.0
175.0,0.859375,0.875,164.55357,0,2,realtime,worlds/l/trampoline.json,6,,0.0
73.046875,0.859375,0.859375,53.69091,0,2,realtime,worlds/l/car_launch.json,6,,0.0
34.890625,0.71875,0.78125,38.22,0,2,pred,worlds/l/grasp_easy.json,6,1.0,0.0
169.39062,0.4375,0.4375,58.035713,0,2,pred,worlds/l/catapult.json,6,1.0,0.0
49.515625,0.671875,0.71875,50.695652,0,2,pred,worlds/l/cartpole_thrust.json,6,1.0,0.0
55.484375,0.96875,0.890625,52.526318,0,2,pred,worlds/l/hard_lunar_lander.json,6,1.0,0.0
84.078125,0.9375,0.875,80.53571,0,2,pred,worlds/l/mjc_half_cheetah.json,6,1.0,0.0
229.57812,0.609375,0.5625,211.77777,0,2,pred,worlds/l/mjc_swimmer.json,6,1.0,0.0
205.57812,0.609375,0.546875,179.11429,0,2,pred,worlds/l/mjc_walker.json,6,1.0,0.0
84.0625,0.484375,0.640625,75.46342,0,2,pred,worlds/l/h17_unicycle.json,6,1.0,0.0
48.515625,0.953125,0.9375,48.75,0,2,pred,worlds/l/chain_lander.json,6,1.0,0.0
66.484375,0.1875,0.4375,67.10714,0,2,pred,worlds/l/catcher_v3.json,6,1.0,0.0
184.125,0.671875,0.75,167.29167,0,2,pred,worlds/l/trampoline.json,6,1.0,0.0
100.703125,0.578125,0.625,50.375,0,2,pred,worlds/l/car_launch.json,6,1.0,0.0
36.1875,0.90625,0.921875,37.271187,0,2,reflex,worlds/l/grasp_easy.json,6,1.0,0.0
180.01562,0.375,0.375,53.375,0,2,reflex,worlds/l/catapult.json,6,1.0,0.0
52.859375,0.921875,0.921875,53.66102,0,2,reflex,worlds/l/cartpole_thrust.json,6,1.0,0.0
52.140625,1.0,0.890625,52.210526,0,2,reflex,worlds/l/hard_lunar_lander.json,6,1.0,0.0
78.1875,0.984375,0.90625,76.94827,0,2,reflex,worlds/l/mjc_half_cheetah.json,6,1.0,0.0
204.10938,0.9375,0.796875,199.88235,0,2,reflex,worlds/l/mjc_swimmer.json,6,1.0,0.0
190.17188,0.71875,0.625,173.075,0,2,reflex,worlds/l/mjc_walker.json,6,1.0,0.0
87.296875,0.578125,0.6875,75.681816,0,2,reflex,worlds/l/h17_unicycle.json,6,1.0,0.0
48.359375,1.0,0.953125,48.52459,0,2,reflex,worlds/l/chain_lander.json,6,1.0,0.0
67.8125,0.40625,0.59375,67.63158,0,2,reflex,worlds/l/catcher_v3.json,6,1.0,0.0
180.9375,0.671875,0.71875,166.0,0,2,reflex,worlds/l/trampoline.json,6,1.0,0.0
74.359375,0.859375,0.84375,48.01852,0,2,reflex,worlds/l/car_launch.json,6,1.0,0.0
