level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/grasp_easy.json,0.05,1,992,0.10363045334815979,0.005132365506142378,0.0009930289816111326,0.0009930289816111326,0.10457175970077515,0.1086043268442154,0.17656753957271576,0.8065163168089484,0.8065163168089484,0.9904175949296012,0.04952564946232106
worlds/l/grasp_easy.json,0.05,2,940,0.18264637887477875,0.006781050469726324,0.001313615939579904,0.001313615939579904,0.18303608894348145,0.1848355531692505,0.26458027958869934,0.8062813504420179,0.8062813504420179,0.9928078730732433,0.03712666252406444
worlds/l/grasp_easy.json,0.05,3,920,0.27693578600883484,0.025850610807538033,0.005355096887797117,0.004062764812260866,0.254538357257843,0.27328813076019287,0.3414486348628998,0.7928444736696291,0.8428367962943388,0.9806630375764211,0.09334514394146715
worlds/l/grasp_easy.json,0.05,4,896,0.22524455189704895,0.0282615814357996,0.011778105981647968,0.011778105981647968,0.22739538550376892,0.2449101209640503,0.40332916378974915,0.5832467475889949,0.5832467475889949,0.9477096964945403,0.12547065488499334
worlds/l/grasp_easy.json,0.05,5,880,0.29530370235443115,0.08334951102733612,0.051907505840063095,0.05196745693683624,0.2886655926704407,0.3314723074436188,0.4531794488430023,0.37723082954813014,0.37651155602109665,0.824223315094904,0.2822501389681118
worlds/l/grasp_easy.json,0.05,6,832,0.2618549168109894,0.06612162292003632,0.03191373869776726,0.02716854400932789,0.2485784888267517,0.28201615810394287,0.535493791103363,0.5173479220804684,0.5891125654585949,0.8781243480686557,0.252512435990514
worlds/l/grasp_easy.json,0.05,7,801,0.41072818636894226,0.07576896250247955,0.032346904277801514,0.029837580397725105,0.3844626545906067,0.4323309361934662,0.5321616530418396,0.5730850310014084,0.6062031284017032,0.9212449854884187,0.18447470862011656
worlds/l/grasp_easy.json,0.1,1,992,0.11884821206331253,0.015712514519691467,0.006635441444814205,0.006635441444814205,0.10933952033519745,0.1086043268442154,0.3164116442203522,0.5776970365565333,0.5776970365565333,0.9441687735169344,0.13220657043894893
worlds/l/grasp_easy.json,0.1,2,940,0.20528018474578857,0.039286430925130844,0.018792537972331047,0.018792537972331047,0.1843780130147934,0.1848355531692505,0.4610935151576996,0.5216532138502358,0.5216532138502358,0.9084542037235448,0.1913795575241795
worlds/l/grasp_easy.json,0.1,3,920,0.251986563205719,0.06425326317548752,0.01822683773934841,0.01573597826063633,0.22692956030368805,0.27328813076019287,0.5646432042121887,0.7163282168320766,0.7550944888564108,0.9276674219947664,0.25498686262501974
worlds/l/grasp_easy.json,0.1,4,896,0.24934108555316925,0.08390824496746063,0.047915805131196976,0.047917481511831284,0.23161980509757996,0.2449101209640503,0.6434256434440613,0.42894997804114976,0.4289299993056279,0.8078302858716822,0.3365199312472237
worlds/l/grasp_easy.json,0.1,5,873,0.297845721244812,0.09742996096611023,0.03597321733832359,0.03413008898496628,0.2778569459915161,0.33412283658981323,0.7237549424171448,0.6307786949556881,0.6496961648497632,0.8792219771095664,0.32711553000967375
worlds/l/grasp_easy.json,0.1,6,831,0.2882692515850067,0.13462914526462555,0.06423015892505646,0.0568256676197052,0.24492979049682617,0.2823549509048462,0.7913050055503845,0.5229104455888332,0.5779096160195528,0.7771869230870229,0.46702568700749975
